,0
Il1rl2,65.59987000000001
Il1rl1,58.681796999999996
Il18r1,17.21238
Il18rap,17.21238
Mfsd9,22.520135000000003
2610017I09Rik,17.670830000000002
2900092D14Rik,17.670830000000002
Pou3f3,17.670830000000002
AI597479,47.723991999999996
Fhl2,47.723991999999996
Tgfbrap1,47.723991999999996
Nck2,44.56564
1500015O10Rik,31.543595
1700029F09Rik,41.447309999999995
A530098C11Rik,41.447309999999995
Tpp2,41.447309999999995
Bivm,39.154235
Ercc5,39.154235
Kdelc1,39.154235
4832428D23Rik,28.001065000000008
Col3a1,28.001065000000008
Col5a2,28.001065000000008
Gulp1,28.001065000000008
Wdr75,42.15646592592593
Slc40a1,36.949284285714285
Sdpr,32.24867133333333
Tmeff2,32.24867133333333
Obfc2a,16.58208166666667
Myo1b,41.26624875
Stat1,54.81953333333333
Stat4,54.81953333333333
Gls,27.885283333333334
Nab1,34.66617
Tmem194b,7.28321
Inpp1,22.984189999999998
1700019D03Rik,1.822588
Ormdl1,20.87574
Osgepl1,20.87574
Pms1,20.87574
Asnsd1,8.88524
Stk17b,23.28753071428571
Hecw2,28.137838333333338
Ankrd44,24.436352
Sf3b1,29.69339
Coq10b,21.119176666666664
Hspd1,21.119176666666664
Hspe1,21.119176666666664
Gm10561,36.262840000000004
Rftn2,36.262840000000004
Plcl1,22.12645
Hsfy2,10.62319
9130024F11Rik,23.697670000000002
Satb2,23.697670000000002
Aox1,27.74141
Aox3,27.74141
Kctd18,27.74141
Sgol2,27.74141
Bzw1,27.649389999999993
Clk1,16.206265000000002
Nif3l1,16.206265000000002
Ppil3,16.206265000000002
Fam126b,21.673145
Ndufb3,21.673145
Als2cr12,53.29316714285714
Cflar,53.29316714285714
Casp8,38.49796
Als2cr11,27.684799999999996
Stradb,27.684799999999996
Trak2,27.684799999999996
Als2,23.159039999999997
Cdk15,23.159039999999997
Mpp4,23.159039999999997
Fzd7,76.19494999999999
Gm973,76.19494999999999
Bmpr2,17.21385857142857
Nop58,17.21385857142857
Snord11,17.21385857142857
Snord70,17.21385857142857
Sumo1,17.21385857142857
Carf,65.23639
Wdr12,65.23639
Cyp20a1,55.5425625
Nbeal1,55.5425625
Raph1,20.080151666666666
Cd28,26.667920000000002
Pard3b,13.937926000000001
